name	dod
Charles II	1669-09-10
James II	1669-09-10
Mary (Princess Royal)	1669-09-10
Mary II	1671-04-10
William III	1660-12-24
Anne	1671-04-10
Palatine Sophia	1662-02-13
George I	1714-06-08
George III	1772-02-08
George IV	1818-11-17
Frederick (Prince)	1818-11-17
William IV	1818-11-17
Edward (Prince)	1818-11-17
Victoria (Princess Royal)	1901-01-22
Edward VII	1901-01-22
Alice (Princess)	1901-01-22
Alfred	1901-01-22
Albert Victor	1925-11-20
George V	1925-11-20
Alice (Princess Royal)	1925-11-20
George VI	1953-03-24
Edward VIII	1953-03-24
Elizabeth II	2002-03-30
Margaret	2002-03-30
Philip	1969-12-05
Diana	2004-06-03
Henry	1997-08-31
William	1997-08-31
