father	mother	child	born
Albert	Victoria	Victoria (Princess Royal)	1
Albert	Victoria	Edward VII	2
Albert	Victoria	Alice (Princess)	3
Albert	Victoria	Alfred	4
Andrew of Greece	Alice	Philip	1
Charles	Diana	William	1
Charles	Diana	Henry	2
Charles I	Henrietta Maria	Charles II	1
Charles I	Henrietta Maria	Mary (Princess Royal)	2
Charles I	Henrietta Maria	James II	3
Edward VII	Alexandra (Queen)	Albert Victor	1
Edward VII	Alexandra (Queen)	George V	2
Edward VII	Alexandra (Queen)	Alice (Princess Royal)	3
Ernest Augustus	Palatine Sophia	George I	1
Frederick	Augusta of Saxe-Gotha	George III	1
George III	Charlotte	Frederick (Prince)	1
George III	Charlotte	William IV	2
George III	Charlotte	George IV	2
George III	Charlotte	Edward (Prince)	4
George V	Mary of Teck	Edward VIII	1
George V	Mary of Teck	George VI	2
George VI	Elizabeth	Elizabeth II	1
George VI	Elizabeth	Margaret	2
James II	Anne Hyde	Mary II	1
James II	Anne Hyde	Anne	2
Philip	Elizabeth II	Charles	1
Philip	Elizabeth II	Anne (Princess)	2
Philip	Elizabeth II	Andrew	3
Philip	Elizabeth II	Edward	4
William II of Orange	Mary (Princess Royal)	William III	1
